	date	dateAlternative	firstAuthor	title	abstract	pubType	PMID	potentialReview	mice	human	comment
0	"[DictElement({'Year': '2023', 'Month': '01', 'Day': '03'}, attributes={'DateType': 'Electronic'})]"	2023	Che	Gut microbial metabolite butyrate improves anticancer therapy by regulating intracellular calcium homeostasis.	"Gut microbiota are recognized to be important for anticancer therapy, yet the underlying mechanism is not clear. Here, through the analysis of clinical samples, we identify the mechanism by which the gut microbial metabolite butyrate inhibits hepatocellular carcinoma (HCC) and then explore new strategies for HCC treatment. In our study, we demonstrate that gut microbial metabolite butyrate improves anticancer therapy efficacy by regulating intracellular calcium homeostasis. Using liquid chromatography-mass spectrometry analysis, we found that butyrate metabolism is activated in HCC patients compared with healthy individuals. Butyrate levels are lower in the plasma of HCC patients by gas chromatography mass spectrometry (GC-MS) analysis. Butyrate supplementation or depletion of short-chain Acyl-CoA dehydrogenase (ACADS), a key enzyme for butyrate metabolism, significantly inhibits HCC proliferation and metastasis. Profiling analysis of genes upregulated by butyrate supplementation or ACADS knockdown reveals that calcium signaling pathway is activated, leading to dysregulation of intracellular calcium homeostasis and production of reactive oxygen species (ROS). Butyrate supplementation improves the therapy efficacy of a tyrosine kinase inhibitor sorafenib. Based on these findings, we developed butyrate and sorafenib co-encapsulated mPEG-PLGA-PLL (PEAL) nanoparticles (NPs) coated with anti-GPC3 antibody (BS@PEAL-GPC3) to prolong the retention time of drugs and enhance drug targeting, leading to high anticancer efficacy. BS@PEAL-GPC3 NPs significantly reduce HCC progression. In addition, BS@PEAL-GPC3 NPs display excellent HCC targeting with excellent safety. In conclusion, our findings provide new insight into the mechanism by which the gut microbial metabolites inhibit HCC progression, suggesting a translatable therapeutics approach to enhance the clinical targeted therapeutic efficacy."	"[StringElement('Journal Article', attributes={'UI': 'D016428'})]"	36947402	FALSE	FALSE	TRUE	X
1	"[DictElement({'Year': '2023', 'Month': '03', 'Day': '21'}, attributes={'DateType': 'Electronic'})]"	2023	Zhang	Identification reproducible microbiota biomarkers for the diagnosis of cirrhosis and hepatocellular carcinoma.	"Hepatocellular carcinoma (HCC) is a malignant tumor with high incidence in China, which is mainly related to chronic hepatitis B (CHB) and liver cirrhosis (LC) caused by hepatitis B virus (HBV) infection. This study aimed to identify reproducible gut microbial biomarkers across Chinese population for LC and HCC diagnosis. In this study, a group of 21 CHB, 25 LC, 21 HCC and 15 healthy control (HC) were examined, and used as the training data. Four published faecal datasets from different regions of China were collected, totally including 121 CHB, 33 LC, 70 HCC and 96 HC. Beta diversity showed that the distribution of community structure in CHB, LC, HCC was significantly different from HC. Correspondingly, 14 and 10 reproducible differential genera across datasets were identified in LC and HCC, respectively, defined as LC-associated and HCC-associated genera. Two random forest (RF) models based on these reproducible genera distinguished LC or HCC from HC with an area under the curve (AUC) of 0.824 and 0.902 in the training dataset, respectively, and achieved cross-region validations. Moreover, AUCs were greatly improved when clinical factors were added. A reconstructed random forest model on eight genera with significant changes between HCC and non-HCC can accurately distinguished HCC from LC. Conclusively, two RF models based on 14 reproducible LC-associated and 10 reproducible HCC-associated genera were constructed for LC and HCC diagnosis, which is of great significance to assist clinical early diagnosis."	"[StringElement('Journal Article', attributes={'UI': 'D016428'})]"	36943499	FALSE	FALSE	FALSE	"16S meta-analysis, data not available yet"
2	"[DictElement({'Year': '2023', 'Month': '03', 'Day': '09'}, attributes={'DateType': 'Electronic'})]"	2023	Nakamura	Decreased Paneth cell α-defensins promote fibrosis in a choline-deficient L-amino acid-defined high-fat diet-induced mouse model of nonalcoholic steatohepatitis via disrupting intestinal microbiota.	"Nonalcoholic steatohepatitis (NASH) is a chronic liver disease characterized by fibrosis that develops from fatty liver. Disruption of intestinal microbiota homeostasis, dysbiosis, is associated with fibrosis development in NASH. An antimicrobial peptide α-defensin secreted by Paneth cells in the small intestine is known to regulate composition of the intestinal microbiota. However, involvement of α-defensin in NASH remains unknown. Here, we show that in diet-induced NASH model mice, decrease of fecal α-defensin along with dysbiosis occurs before NASH onset. When α-defensin levels in the intestinal lumen are restored by intravenous administration of R-Spondin1 to induce Paneth cell regeneration or by oral administration of α-defensins, liver fibrosis is ameliorated with dissolving dysbiosis. Furthermore, R-Spondin1 and α-defensin improved liver pathologies together with different features in the intestinal microbiota. These results indicate that decreased α-defensin secretion induces liver fibrosis through dysbiosis, further suggesting Paneth cell α-defensin as a potential therapeutic target for NASH."	"[StringElement('Journal Article', attributes={'UI': 'D016428'})]"	36894646	FALSE	TRUE	FALSE	X mice
3	[]	2022	Zhang	[Characteristics and research progress on the role of intestinal fungi in chronic liver disease].	"At present, a large number of studies have revealed that intestinal bacteria play a very complex role in benign liver diseases, while there is relatively little research on intestinal fungi. As part of the gut microbiome, intestinal fungi are insignificant in numbers compared with intestinal bacteria, but the impact of intestinal fungi on human health and diseases cannot be ignored. This paper summarizes the characteristics and research progress of intestinal fungi in patients with alcoholic liver disease, nonalcoholic fatty liver disease, viral hepatitis and liver cirrhosis, so as to provide basis of reference and ideas for the further research on the diagnosis and treatment of intestinal fungi in benign liver diseases."	"[StringElement('English Abstract', attributes={'UI': 'D004740'}), StringElement('Journal Article', attributes={'UI': 'D016428'})]"	36891713	FALSE	FALSE	TRUE	"chinese journal, article in chinese"
4	"[DictElement({'Year': '2023', 'Month': '02', 'Day': '15'}, attributes={'DateType': 'Electronic'})]"	2023	Zeng	Celastrol-regulated gut microbiota and bile acid metabolism alleviate hepatocellular carcinoma proliferation by regulating the interaction between FXR and RXRα <i>in vivo</i> and <i>in vitro</i>.	"Celastrol, a triterpene derived from <i>Thunder God Vine</i> (<i>Tripterygium wilfordii Hook f</i>; Celastraceae), a traditional Chinese herb, has promising anticancer activity. The present study aimed to elucidate an indirect mechanism of celastrol-mediated alleviation of hepatocellular carcinoma (HCC) <i>via</i> gut microbiota-regulated bile acid metabolism and downstream signaling. Here, we constructed a rat model of orthotopic HCC and performed 16S rDNA sequencing and UPLC-MS analysis. The results showed that celastrol could regulate gut bacteria; suppress the abundance of <i>Bacteroides fragilis</i>; raise the levels of glycoursodeoxycholic acid (GUDCA), a bile acid; and alleviate HCC. We found that GUDCA suppressed cellular proliferation and induced the arrest of mTOR/S6K1 pathway-associated cell cycle G0/G1 phase in HepG2 cells. Further analyses using molecular simulations, Co-IP, and immunofluorescence assays revealed that GUDCA binds to farnesoid X receptor (FXR) and regulates the interaction of FXR with retinoid X receptor <i>a</i> (RXRα). Transfection experiments using the FXR mutant confirmed that FXR is essential for GUCDA-mediated suppression of HCC cellular proliferation. Finally, animal experiments showed that the treatment with the combination of celastrol/GUDCA alleviated the adverse effects of celastrol alone treatment on body weight loss and improved survival in rats with HCC. In conclusion, the findings of this study suggest that celastrol exerts an alleviating effect on HCC, in part <i>via</i> regulation of the <i>B. fragilis</i>-GUDCA-FXR/RXRα-mTOR axis."	"[StringElement('Journal Article', attributes={'UI': 'D016428'})]"	36874033	FALSE	FALSE	FALSE	X rat model
5	"[DictElement({'Year': '2023', 'Month': '03', 'Day': '02'}, attributes={'DateType': 'Electronic'})]"	2023	Hackstein	Interferon-induced IL-10 drives systemic T-cell dysfunction during chronic liver injury.	"Patients with chronic liver disease (CLD) such as cirrhosis are at increased risk of intractable viral infections and are hyporesponsive to vaccination. Hallmarks of CLD and cirrhosis include microbial translocation and elevated levels of type I Interferon (IFN-I). We aimed to investigate the relevance of microbiota-induced IFN-I for the impaired adaptive immune responses in CLD. We combined BDL and CCl<sub>4</sub> models of liver injury with vaccination or LCMV-infection in transgenic mice lacking IFN-I in myeloid cells (LysM-Cre IFNAR<sup>flox/flox</sup>), IFNAR-induced IL-10 (MX1-Cre IL10<sup>flox/flox</sup>) or IL-10R in T-cells (CD4-DN IL-10R). Key pathways were blocked in vivo with specific antibodies (anti-IFNAR and anti-IL10R). We assessed T-cell responses and antibody titers after HBV and COVID vaccinations in CLD patients and healthy individuals in a proof-of-concept clinical study. We demonstrate that BDL- and CCL<sub>4</sub>-induced prolonged liver injury leads to impaired T-cell responses to vaccination in mice and cirrhosis patients as well as defective T-cell responses to viral infection in mice leading to persistent infection. Innate sensing of translocated gut microbiome induced IFN-I-signalling in hepatic myeloid cells that triggered excessive IL-10 production upon viral infection. IL-10R signalling in antigen-specific T-cells rendered them dysfunctional. Antibiotic treatment, IFNAR and IL-10Rα inhibition restored anti-viral immunity without detectable immune pathology in mice. Notably, IL-10Rα blockade restored the functional phenotype of T-cells from vaccinated cirrhosis patients. Loss of systemic T-cell immunity during prolonged liver injury is driven by IFN-/IL-10 expression induced by innate sensing of translocated microbiota. Chronic liver injury and cirrhosis are associated with enhanced susceptibility to viral infections and vaccine hypo-responsiveness. Using different pre-clinical animal models and patient samples, we identified that impaired T-cell immunity in BDL- and CCL<sub>4</sub>-induced prolonged liver injury is driven by sequential events involving microbial translocation, IFN signalling leading to myeloid cell-induced IL-10 expression, and IL-10-signaling in antigen-specific T-cells. Given the absence of immuno-pathology after interference with IL-10R, our study highlights a novel potential target to reconstitute T-cell immunity in CLD patients that can be explored in future clinical studies."	"[StringElement('Journal Article', attributes={'UI': 'D016428'})]"	36870611	FALSE	TRUE	TRUE	COVID/19 patients 
6	"[DictElement({'Year': '2023', 'Month': '02', 'Day': '14'}, attributes={'DateType': 'Electronic'})]"	2023	Wang	Ecological shifts of salivary microbiota associated with metabolic-associated fatty liver disease.	"Metabolic-associated fatty liver disease (MAFLD) is the most common chronic liver disease related to metabolic syndrome. However, ecological shifts in the saliva microbiome in patients with MAFLD remain unknown. This study aimed to investigate the changes to the salivary microbial community in patients with MAFLD and explore the potential function of microbiota. Salivary microbiomes from ten MAFLD patients and ten healthy participants were analyzed by 16S rRNA amplicon sequencing and bioinformatics analysis. Body composition, plasma enzymes, hormones, and blood lipid profiles were assessed with physical examinations and laboratory tests. The salivary microbiome of MAFLD patients was characterized by increased α-diversity and distinct β-diversity clustering compared with control subjects. Linear discriminant analysis effect size analysis showed a total of 44 taxa significantly differed between the two groups. Genera Neisseria, Filifactor, and Capnocytophaga were identified as differentially enriched genera for comparison of the two groups. Co-occurrence networks suggested that the salivary microbiota from MAFLD patients exhibited more intricate and robust interrelationships. The diagnostic model based on the salivary microbiome achieved a good diagnostic power with an area under the curve of 0.82(95% CI: 0.61-1). Redundancy analysis and spearman correlation analysis revealed that clinical variables related to insulin resistance and obesity were strongly associated with the microbial community. Metagenomic predictions based on Phylogenetic Investigation of Communities by Reconstruction of Unobserved States revealed that pathways related to metabolism were more prevalent in the two groups. Patients with MAFLD manifested ecological shifts in the salivary microbiome, and the saliva microbiome-based diagnostic model provides a promising approach for auxiliary MAFLD diagnosis."	"[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement(""Research Support, Non-U.S. Gov't"", attributes={'UI': 'D013485'})]"	36864882	FALSE	FALSE	TRUE	"MAFLD, 16S salivary microbiome w/ metadata"
7	"[DictElement({'Year': '2023', 'Month': '01', 'Day': '20'}, attributes={'DateType': 'Electronic'})]"	2023	Lu	Diversity and Comparison of Intestinal <i>Desulfovibrio</i> in Patients with Liver Cirrhosis and Healthy People.	"<i>Desulfovibrio</i> belongs to Sulfate-reducing bacteria (SRB), which are widely present in anaerobic environments, including the human gut. <i>Desulfovibrio</i> has been associated with many human diseases, including chronic liver disease. However, the characteristics and difference of <i>Desulfovibrio</i> from fecal samples of healthy volunteers (HV) and patients with liver cirrhosis (LC) have not been fully elucidated. Here, we isolated <i>Desulfovibrio</i> from the feces of 6 HV and 9 LC, and 88 <i>Desulfovibrio</i> strains were obtained. In the feces of HV, 55% of isolated strains were <i>D. desulfuricans</i>, followed by <i>D. intestinalis</i> (15%), D. <i>simplex</i> (11%), <i>D. piger</i> (9%), <i>D. legallii</i> (4%), <i>Cupidesulfovibrio oxamicus</i> (4%) and <i>D. fairfieldensis</i> (2%). However, only <i>D. desulfuricans</i> (60%) and <i>C. oxamicus</i> (40%) were isolated from fecal samples of patients with LC. Our results suggest that there was a significant difference in the desulfurization ability and the H<sub>2</sub>S production ability of different <i>Desulfovibrio</i>. <i>Desulfovibrio</i>. Furthermore, we found that <i>Desulfovibrio</i> isolated from the patients with LC generally had a higher hydrogen sulfide production capacity, gastrointestinal tolerance, and levels of antibiotic resistance than the same species isolated from HV. Our findings suggested that <i>Desulfovibrio</i> may be associated with the occurrence and development of liver cirrhosis."	"[StringElement('Journal Article', attributes={'UI': 'D016428'})]"	36838242	FALSE	FALSE	TRUE	"liver cirrhosis, 16S data not publicly available"
8	"[DictElement({'Year': '2023', 'Month': '02', 'Day': '02'}, attributes={'DateType': 'Electronic'})]"	2023	Huo	Altered Gut Microbiota Composition and Its Potential Association in Patients with Advanced Hepatocellular Carcinoma.	"Hepatocellular carcinoma (HCC) is the second-most-common cause of cancer death. In recent years, studies have suggested that intestinal microbiota dysregulation is closely related to HCC and can affect the therapeutic efficacy of immune checkpoint inhibitors. However, there are few data on the relationship between altered gut microbiota composition and its potential association in patients with advanced hepatocellular carcinoma. Hence, in this study, we aimed to investigate the gut microbiota profile associated with advanced hepatocarcinoma. In total, 20 patients with advanced hepatocarcinoma and 20 matched healthy participants were recruited. Stool samples were collected for 16S rRNA sequencing to confirm intestinal microbiota dysbiosis. The results showed that the Nseqs index in advanced hepatocarcinoma patients was significantly different compared with that in healthy individuals, while the butyrate-producing bacteria decreased and LPS-producing bacteria increased. Meanwhile, <i>Lactobacillus</i>, <i>Anaerostipes</i>, <i>Fusicatenibacter</i>, <i>Bifidobacterium</i>, and <i>Faecalibacterium</i> were significantly correlated with AFP, ALT, AST, and PIVKA. Our findings characterized the gut microbiota composition of advanced hepatocarcinoma, providing an experimental basis and theoretical support for using microbiota to regulate immunotherapy, achieve potential biomarkers for diagnosis, and improve the effect of clinical treatment for patients with advanced hepatocarcinoma."	"[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement(""Research Support, Non-U.S. Gov't"", attributes={'UI': 'D013485'})]"	36826102	FALSE	FALSE	TRUE	data available on request�
9	"[DictElement({'Year': '2023', 'Month': '02', 'Day': '20'}, attributes={'DateType': 'Electronic'})]"	2023	Hsu	Differences in Bacterial Translocation and Liver Injury in Ethanol Versus Diet-Induced Liver Disease.	"Alcohol-associated liver disease (ALD) and non-alcoholic fatty liver disease (NAFLD)/non-alcoholic steatohepatitis (NASH) are two of the most common etiologies of chronic liver disease worldwide. Changes in intestinal permeability and increased gut microbial translocation have been posited as important contributors to inflammation in both ALD and NAFLD. However, gut microbial translocation has not been compared between the two etiologies and can lead to better understanding of the differences in their pathogenesis to liver disease. We compared serum and liver markers in the following five models of liver disease to understand the differences in the role of gut microbial translocation on liver disease progression caused by ethanol versus Western diet: (1) 8-week chronic ethanol feeding model. (2) 2-week chronic-plus-binge (National Institute on Alcohol Abuse and Alcoholism (NIAAA)) ethanol feeding model. (3) 2-week chronic-plus-binge (NIAAA) ethanol feeding model in microbiota-humanized gnotobiotic mice colonized with stool from patients with alcohol-associated hepatitis. (4) 20-week Western-diet-feeding model of NASH. (5) 20-week Western-diet-feeding model in microbiota-humanized gnotobiotic mice colonized with stool from NASH patients. Translocation of bacterial lipopolysaccharide to the peripheral circulation was seen in both ethanol-induced and diet-induced liver disease, but translocation of bacteria itself was restricted to only ethanol-induced liver disease. Moreover, the diet-induced steatohepatitis models developed more significant liver injury, inflammation, and fibrosis compared with ethanol-induced liver disease models, and this positively correlated with the level of lipopolysaccharide translocation. More significant liver injury, inflammation, and fibrosis are seen in diet-induced steatohepatitis, which positively correlates with translocation of bacterial components, but not intact bacteria."	"[StringElement('Journal Article', attributes={'UI': 'D016428'})]"	36807831	FALSE	TRUE	TRUE	mice models with FMT
